timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770649241.717499,0,0,100.4,82.01,0,0
1770649241.9669607,0,0,100.4,82.01,0,0
1770649242.217922,0,0,100.4,82.01,0,0
1770649242.468304,0,0,100.4,82.01,0,0
1770649242.718074,0,0,100.4,82.01,0,0
1770649242.9675086,0,0,100.4,82.01,0,0
1770649243.218548,0,0,100.4,82.01,0,0
1770649243.468288,0,0,100.4,82.01,0,0
1770649243.718514,0,0,100.4,82.01,0,0
1770649243.967216,0,0,100.4,82.01,0,0
1770649244.2190871,0,0,100.4,82.01,0,0
1770649244.4699576,0,0,100.4,82.01,0,0
1770649244.7191737,0,0,100.4,82.01,0,0
1770649244.967791,0,0,100.4,82.01,0,0
1770649245.2196002,0,0,100.4,82.01,0,0
1770649245.4690626,0,0,100.4,82.01,0,0
1770649245.7192981,0,0,100.4,82.01,0,0
1770649245.9682202,0,0,100.4,82.01,0,0
1770649246.219761,0,0,100.4,82.01,0,0
1770649246.469331,0,0,100.4,82.01,0,0
1770649246.7195072,0,0,100.4,82.01,0,0
1770649246.9681776,0,0,100.4,82.01,0,0
1770649247.2189927,0,0,100.4,82.01,0,0
1770649247.4699018,0,0,100.4,82.01,0,0
1770649247.719161,0,0,100.4,82.01,0,0
1770649247.968719,0,0,100.4,82.01,0,0
1770649248.2195053,0,0,100.4,82.01,0,0
1770649248.469973,0,0,100.4,82.01,0,0
1770649248.7193513,0,0,100.4,82.01,0,0
1770649248.969135,0,0,100.4,82.01,0,0
1770649249.2198,0,0,100.4,82.01,0,0
1770649249.4701815,0,0,100.4,82.01,0,0
1770649249.7198648,0,0,100.4,82.01,0,0
1770649249.9694836,0,0,100.4,82.01,0,0
1770649250.2195084,0,0,100.4,82.01,0,0
1770649250.4717886,0,0,100.4,82.01,0,0
1770649250.7195923,0,0,100.4,82.01,0,0
1770649250.9705658,0,0,100.4,82.01,0,0
1770649251.2197697,0,0,100.4,82.01,0,0
1770649251.4718804,0,0,100.4,82.01,0,0
1770649251.7200375,0,0,100.4,82.01,0,0
1770649251.9705014,0,0,100.4,82.01,0,0
1770649252.220041,0,0,100.4,82.01,0,0
1770649252.4721394,0,0,100.4,82.01,0,0
1770649252.720899,0,0,100.4,82.01,0,0
1770649252.9707053,0,0,100.4,82.01,0,0
1770649253.2205355,0,0,100.4,82.01,0,0
1770649253.4728944,0,0,100.4,82.01,0,0
1770649253.7211308,-42,-28,101.68,81.13,1.2788,-0.8729
1770649253.9707887,-49,-32,103.71,79.85,2.0308,-1.2804
1770649254.2218735,0,-30,100.71,79.11,-3,-0.7407
1770649254.4718392,0,-31,100.71,78.1,-0.0,-1.01
1770649254.721734,-36,0,103.71,80.58,3,2.4808
1770649254.9707139,0,0,103.71,80.58,0,0
1770649255.2222753,0,-33,102.28,78.27,-1.4384,-2.3086
1770649255.472213,0,0,102.28,78.27,0,0
1770649255.7216358,0,0,102.28,78.27,0,0
1770649255.9712594,0,0,102.28,78.27,0,0
1770649256.2224677,0,0,102.28,78.27,0,0
1770649256.4717782,0,0,102.28,78.27,0,0
1770649256.721514,0,0,102.28,78.27,0,0
1770649256.97176,0,0,102.28,78.27,0,0
1770649257.2225287,0,0,102.28,78.27,0,0
1770649257.4720666,0,0,102.28,78.27,0,0
1770649257.7218444,0,0,102.28,78.27,0,0
1770649257.97207,0,0,102.28,78.27,0,0
1770649258.2223744,0,0,102.28,78.27,0,0
1770649258.473133,0,0,102.28,78.27,0,0
1770649258.721997,0,0,102.28,78.27,0,0
1770649258.973069,0,0,102.28,78.27,0,0
1770649259.2229772,0,0,102.28,78.27,0,0
1770649259.474,0,0,102.28,78.27,0,0
1770649259.7222648,0,0,102.28,78.27,0,0
1770649259.9740162,0,0,102.28,78.27,0,0
1770649260.2247827,0,0,102.28,78.27,0,0
1770649260.474455,0,0,102.28,78.27,0,0
1770649260.7225778,0,0,102.28,78.27,0,0
1770649260.9746194,0,0,102.28,78.27,0,0
1770649261.223133,0,29,102.28,79.35,-0.0,1.0766
1770649261.474632,0,28,102.28,80.11,-0.0,0.7605
1770649261.7228959,0,0,102.28,80.11,0,0
1770649261.9743755,0,0,102.28,80.11,0,0
1770649262.223384,0,0,102.28,80.11,0,0
1770649262.4748087,0,0,102.28,80.11,0,0
1770649262.723224,0,0,102.28,80.11,0,0
1770649262.9752545,0,0,102.28,80.11,0,0
1770649263.2235963,0,0,102.28,80.11,0,0
1770649263.4750137,0,0,102.28,80.11,0,0
1770649263.7237003,0,0,102.28,80.11,0,0
1770649263.9749982,0,0,102.28,80.11,0,0
1770649264.2238615,0,0,102.28,80.11,0,0
1770649264.4755151,0,0,102.28,80.11,0,0
1770649264.723726,0,0,102.28,80.11,0,0
1770649264.9754555,0,0,102.28,80.11,0,0
1770649265.2238536,0,0,102.28,80.11,0,0
1770649265.4755204,0,0,102.28,80.11,0,0
1770649265.7241588,0,0,102.28,80.11,0,0
1770649265.975077,0,0,102.28,80.11,0,0
1770649266.2247567,0,0,102.28,80.11,0,0
1770649266.4753957,0,0,102.28,80.11,0,0
1770649266.7250657,0,0,102.28,80.11,0,0
1770649266.9744728,0,0,102.28,80.11,0,0
1770649267.2259445,0,0,102.28,80.11,0,0
1770649267.4757922,0,0,102.28,80.11,0,0
1770649267.7256832,0,0,102.28,80.11,0,0
1770649267.9752855,0,0,102.28,80.11,0,0
1770649268.2254167,0,0,102.28,80.11,0,0
1770649268.4759455,0,0,102.28,80.11,0,0
1770649268.726052,0,0,102.28,80.11,0,0
1770649268.9754288,0,0,102.28,80.11,0,0
1770649269.22615,0,0,102.28,80.11,0,0
1770649269.476208,0,0,102.28,80.11,0,0
1770649269.7268033,0,0,102.28,80.11,0,0
1770649269.9755664,0,0,102.28,80.11,0,0
1770649270.2258925,0,0,102.28,80.11,0,0
1770649270.4765232,0,0,102.28,80.11,0,0
1770649270.7269483,0,0,102.28,80.11,0,0
1770649270.9757643,0,0,102.28,80.11,0,0
1770649271.2262535,0,0,102.28,80.11,0,0
1770649271.4773707,0,0,102.28,80.11,0,0
1770649271.7270832,0,0,102.28,80.11,0,0
1770649271.98735,0,0,102.28,80.11,0,0
1770649272.2266066,0,0,102.28,80.11,0,0
1770649272.4761503,0,0,102.28,80.11,0,0
1770649272.7266395,0,0,102.28,80.11,0,0
1770649272.9768658,0,0,102.28,80.11,0,0
1770649273.2268012,0,0,102.28,80.11,0,0
1770649273.477596,0,0,102.28,80.11,0,0
1770649273.7269516,0,0,102.28,80.11,0,0
1770649273.9775953,0,0,102.28,80.11,0,0
1770649274.2271512,0,0,102.28,80.11,0,0
1770649274.4782012,0,0,102.28,80.11,0,0
1770649274.7273486,0,0,102.28,80.11,0,0
1770649274.978017,0,0,102.28,80.11,0,0
1770649275.2269156,0,0,102.28,80.11,0,0
1770649275.4788115,0,0,102.28,80.11,0,0
1770649275.7270446,0,0,102.28,80.11,0,0
1770649275.9786856,0,0,102.28,80.11,0,0
1770649276.2272804,0,0,102.28,80.11,0,0
1770649276.4788516,0,0,102.28,80.11,0,0
1770649276.7271526,0,0,102.28,80.11,0,0
1770649276.978559,0,0,102.28,80.11,0,0
1770649277.2282097,0,0,102.28,80.11,0,0
1770649277.4795024,0,0,102.28,80.11,0,0
1770649277.7278569,0,0,102.28,80.11,0,0
1770649277.9784741,0,0,102.28,80.11,0,0
1770649278.2291143,0,0,102.28,80.11,0,0
1770649278.4792368,0,0,102.28,80.11,0,0
1770649278.727738,0,0,102.28,80.11,0,0
1770649278.9788768,0,0,102.28,80.11,0,0
1770649279.2306068,0,0,102.28,80.11,0,0
1770649279.479811,0,0,102.28,80.11,0,0
1770649279.7283256,0,0,102.28,80.11,0,0
1770649279.9792118,0,0,102.28,80.11,0,0
1770649280.2319682,0,0,102.28,80.11,0,0
1770649280.480276,0,0,102.28,80.11,0,0
1770649280.728592,0,0,102.28,80.11,0,0
1770649280.9796495,0,0,102.28,80.11,0,0
1770649281.229071,0,0,102.28,80.11,0,0
1770649281.4806445,0,0,102.28,80.11,0,0
1770649281.7289202,0,0,102.28,80.11,0,0
1770649281.9807582,0,0,102.28,80.11,0,0
1770649282.229196,0,0,102.28,80.11,0,0
1770649282.4808547,0,0,102.28,80.11,0,0
1770649282.7292523,0,0,102.28,80.11,0,0
1770649282.980685,0,0,102.28,80.11,0,0
1770649283.2297618,0,0,102.28,80.11,0,0
1770649283.4802206,0,0,102.28,80.11,0,0
1770649283.730091,0,0,102.28,80.11,0,0
1770649283.9803855,0,0,102.28,80.11,0,0
1770649284.2299395,0,0,102.28,80.11,0,0
1770649284.4805884,0,0,102.28,80.11,0,0
1770649284.730415,0,0,102.28,80.11,0,0
1770649284.98059,0,0,102.28,80.11,0,0
1770649285.2302747,0,0,102.28,80.11,0,0
1770649285.4809744,0,0,102.28,80.11,0,0
1770649285.73093,0,0,102.28,80.11,0,0
1770649285.980672,0,0,102.28,80.11,0,0
1770649286.2306914,0,0,102.28,80.11,0,0
1770649286.4813156,0,0,102.28,80.11,0,0
1770649286.7316754,0,0,102.28,80.11,0,0
1770649286.981913,0,0,102.28,80.11,0,0
1770649287.2313752,0,0,102.28,80.11,0,0
1770649287.481672,0,0,102.28,80.11,0,0
1770649287.7321694,0,0,102.28,80.11,0,0
1770649287.9807053,0,0,102.28,80.11,0,0
1770649288.2313359,0,0,102.28,80.11,0,0
1770649288.481973,0,0,102.28,80.11,0,0
1770649288.7322948,0,0,102.28,80.11,0,0
1770649288.9812567,0,0,102.28,80.11,0,0
1770649289.2316108,0,0,102.28,80.11,0,0
1770649289.4829724,0,0,102.28,80.11,0,0
1770649289.7324135,0,0,102.28,80.11,0,0
1770649289.9815001,0,0,102.28,80.11,0,0
1770649290.231221,0,0,102.28,80.11,0,0
1770649290.4829397,0,0,102.28,80.11,0,0
1770649290.7324867,0,0,102.28,80.11,0,0
1770649290.9825873,0,0,102.28,80.11,0,0
1770649291.231589,0,0,102.28,80.11,0,0
1770649291.4841108,0,0,102.28,80.11,0,0
1770649291.7320845,0,0,102.28,80.11,0,0
1770649291.9828804,0,0,102.28,80.11,0,0
1770649292.232004,0,0,102.28,80.11,0,0
1770649292.4847515,0,0,102.28,80.11,0,0
1770649292.7322323,0,0,102.28,80.11,0,0
1770649292.9827251,0,0,102.28,80.11,0,0
1770649293.2321796,0,0,102.28,80.11,0,0
1770649293.483788,0,0,102.28,80.11,0,0
1770649293.7323759,0,0,102.28,80.11,0,0
1770649293.9833286,0,0,102.28,80.11,0,0
1770649294.232466,0,0,102.28,80.11,0,0
1770649294.4849653,0,0,102.28,80.11,0,0
1770649294.7327693,0,0,102.28,80.11,0,0
1770649294.9835622,0,0,102.28,80.11,0,0
1770649295.2327905,0,0,102.28,80.11,0,0
1770649295.4848564,0,0,102.28,80.11,0,0
1770649295.7333574,0,0,102.28,80.11,0,0
1770649295.9837427,0,0,102.28,80.11,0,0
1770649296.2336848,0,0,102.28,80.11,0,0
1770649296.4849763,0,0,102.28,80.11,0,0
1770649296.7339005,0,0,102.28,80.11,0,0
1770649296.9838266,0,0,102.28,80.11,0,0
1770649297.2342713,0,0,102.28,80.11,0,0
1770649297.4850104,0,0,102.28,80.11,0,0
1770649297.734069,0,0,102.28,80.11,0,0
1770649297.983545,0,0,102.28,80.11,0,0
1770649298.234415,0,0,102.28,80.11,0,0
1770649298.4852433,0,0,102.28,80.11,0,0
1770649298.7343872,0,0,102.28,80.11,0,0
1770649298.9842114,0,0,102.28,80.11,0,0
1770649299.234998,0,0,102.28,80.11,0,0
1770649299.4849854,0,0,102.28,80.11,0,0
1770649299.73504,0,0,102.28,80.11,0,0
1770649299.984414,0,0,102.28,80.11,0,0
1770649300.235421,0,0,102.28,80.11,0,0
1770649300.4852679,0,0,102.28,80.11,0,0
1770649300.7352698,0,0,102.28,80.11,0,0
1770649300.9846802,0,0,102.28,80.11,0,0
1770649301.2361948,0,0,102.28,80.11,0,0
1770649301.485289,0,0,102.28,80.11,0,0
1770649301.7353203,0,0,102.28,80.11,0,0
1770649301.9851532,0,0,102.28,80.11,0,0
1770649302.2365413,0,0,102.28,80.11,0,0
1770649302.4859178,0,0,102.28,80.11,0,0
1770649302.7359815,0,0,102.28,80.11,0,0
1770649302.9854388,0,0,102.28,80.11,0,0
1770649303.2364445,0,0,102.28,80.11,0,0
1770649303.485958,46,0,100.87,80.1,-1.4019,-0.0133
1770649303.7361994,43,0,99.82,80.1,-1.0503,0.0
1770649303.986268,42,0,98.64,80.1,-1.18,0.0
1770649304.2368321,28,0,98.92,80.1,0.2768,0.0
1770649304.4864664,0,0,98.92,80.1,0,0
1770649304.7360842,26,0,98.22,80.1,-0.6999,0.0
1770649304.986327,0,0,98.22,80.1,0,0
1770649305.2368126,0,0,98.22,80.1,0,0
1770649305.4873383,0,0,98.22,80.1,0,0
1770649305.7361212,0,0,98.22,80.1,0,0
1770649305.987034,0,0,98.22,80.1,0,0
1770649306.2365868,0,0,98.22,80.1,0,0
1770649306.48868,0,0,98.22,80.1,0,0
1770649306.7382684,0,0,98.22,80.1,0,0
1770649306.989593,0,0,98.22,80.1,0,0
